año,trimestre,provincia,banda_ancha_fija,dial_up,total
2019,2,Neuquén,120.954,1.999,122.953
2019,2,Río Negro,137.632,915.0,138.547
2019,2,Salta,142.567,1.0,142.568
2019,2,San Juan,69.461,564.0,70.025
2019,2,San Luis,117.094,291.0,117.385
2019,2,Santa Cruz,30.225,325.0,30.550
2019,2,Santa Fe,743.258,226.0,743.484
2019,2,Santiago Del Estero,126.752,2.0,126.754
2019,2,Tierra Del Fuego,46.910,544.0,47.454
2019,2,Tucumán,166.299,32.0,166.331
2019,1,Buenos Aires,3.736.563,10.104,3.746.667
2019,1,Capital Federal,1.396.157,3.443,1.399.600
2019,1,Catamarca,33.613,9.0,33.622
2019,1,Chaco,103.664,13.0,103.677
2019,1,Chubut,78.260,1.518,79.778
2019,1,Córdoba,744.010,105.0,744.115
2019,1,Corrientes,102.477,10.0,102.487
2019,1,Entre Ríos,232.403,44.0,232.447
2019,1,Formosa,45.211,0.0,45.211
2019,1,Jujuy,90.146,1.0,90.147
2019,1,La Pampa,88.892,268.0,89.160
2019,1,La Rioja,51.638,18.0,51.656
2019,1,Mendoza,204.976,1.322,206.298
2019,1,Misiones,122.720,0.0,122.720
2019,1,Neuquén,112.321,2.056,114.377
2019,1,Río Negro,120.173,915.0,121.088
2019,1,Salta,136.019,1.0,136.020
2019,1,San Juan,61.881,564.0,62.445
2019,1,San Luis,96.044,291.0,96.335
2019,1,Santa Cruz,24.580,325.0,24.905
2019,1,Santa Fe,736.851,227.0,737.078
2019,1,Santiago Del Estero,89.851,2.0,89.853
2019,1,Tierra Del Fuego,45.903,544.0,46.447
2019,1,Tucumán,171.970,32.0,172.002
2018,4,Buenos Aires,3.626.502,10.104,3.636.606
2018,4,Capital Federal,1.385.577,3.443,1.389.020
2018,4,Catamarca,33.574,9.0,33.583
2018,4,Chaco,103.257,13.0,103.270
2018,4,Chubut,77.204,1.518,78.722
2018,4,Córdoba,737.234,105.0,737.339
2018,4,Corrientes,100.591,10.0,100.601
2018,4,Entre Ríos,222.003,44.0,222.047
2018,4,Formosa,45.204,0.0,45.204
2018,4,Jujuy,90.132,1.0,90.133
2018,4,La Pampa,85.368,268.0,85.636
2018,4,La Rioja,51.633,18.0,51.651
2018,4,Mendoza,204.982,1.322,206.304
2018,4,Misiones,116.273,0.0,116.273
2018,4,Neuquén,112.309,2.056,114.365
2018,4,Río Negro,115.922,915.0,116.837
2018,4,Salta,134.577,1.0,134.578
2018,4,San Juan,61.834,564.0,62.398
2018,4,San Luis,96.040,291.0,96.331
2018,4,Santa Cruz,24.443,325.0,24.768
2018,4,Santa Fe,720.161,229.0,720.390
2018,4,Santiago Del Estero,89.333,2.0,89.335
2018,4,Tierra Del Fuego,45.716,544.0,46.260
2018,4,Tucumán,171.972,32.0,172.004
2018,3,Buenos Aires,3.599.714,10.563,3.610.277
2018,3,Capital Federal,1.385.804,6.686,1.392.490
2018,3,Catamarca,34.215,11.0,34.226
2018,3,Chaco,102.021,12.0,102.033
2018,3,Chubut,101.310,2.426,103.736
2018,3,Córdoba,725.764,94.0,725.858
2018,3,Corrientes,99.445,11.0,99.456
2018,3,Entre Ríos,204.560,48.0,204.608
2018,3,Formosa,44.865,0.0,44.865
2018,3,Jujuy,44.934,1.0,44.935
2018,3,La Pampa,83.180,244.0,83.424
2018,3,La Rioja,51.855,17.0,51.872
2018,3,Mendoza,205.545,1.484,207.029
2018,3,Misiones,108.042,0.0,108.042
2018,3,Neuquén,114.713,2.005,116.718
2018,3,Río Negro,112.433,1.059,113.492
2018,3,Salta,132.882,1.0,132.883
2018,3,San Juan,63.823,658.0,64.481
2018,3,San Luis,74.121,300.0,74.421
2018,3,Santa Cruz,33.565,434.0,33.999
2018,3,Santa Fe,694.883,217.0,695.100
2018,3,Santiago Del Estero,86.358,2.0,86.360
2018,3,Tierra Del Fuego,45.056,508.0,45.564
2018,3,Tucumán,171.135,31.0,171.166
2018,2,Buenos Aires,3.490.134,10.565,3.500.699
2018,2,Capital Federal,1.362.498,6.688,1.369.186
2018,2,Catamarca,34.078,11.0,34.089
2018,2,Chaco,98.509,12.0,98.521
2018,2,Chubut,98.137,2.427,100.564
2018,2,Córdoba,712.979,94.0,713.073
2018,2,Corrientes,97.946,11.0,97.957
2018,2,Entre Ríos,199.937,48.0,199.985
2018,2,Jujuy,45.132,1.0,45.133
2018,2,La Pampa,82.177,244.0,82.421
2018,2,La Rioja,51.931,17.0,51.948
2018,2,Mendoza,199.468,1.484,200.952
2018,2,Neuquén,113.842,2.006,115.848
2018,2,Río Negro,111.176,1.059,112.235
2018,2,Salta,134.166,1.0,134.167
2018,2,San Juan,63.443,658.0,64.101
2018,2,San Luis,21.168,300.0,21.468
2018,2,Santa Cruz,33.970,435.0,34.405
2018,2,Santa Fe,684.243,309.0,684.552
2018,2,Santiago Del Estero,83.773,2.0,83.775
2018,2,Tierra Del Fuego,44.199,508.0,44.707
2018,2,Tucumán,169.926,31.0,169.957
2018,1,Buenos Aires,3.464.882,10.564,3.475.446
2018,1,Capital Federal,1.359.882,6.688,1.366.570
2018,1,Catamarca,33.934,11.0,33.945
2018,1,Chaco,96.925,12.0,96.937
2018,1,Chubut,95.532,2.427,97.959
2018,1,Córdoba,713.825,101.0,713.926
2018,1,Corrientes,94.406,11.0,94.417
2018,1,Entre Ríos,197.346,48.0,197.394
2018,1,Formosa,32.328,0.0,32.328
2018,1,Jujuy,44.405,1.0,44.406
2018,1,La Pampa,82.668,396.0,83.064
2018,1,La Rioja,52.228,17.0,52.245
2018,1,Mendoza,199.463,1.484,200.947
2018,1,Misiones,103.580,0.0,103.580
2018,1,Neuquén,115.897,2.006,117.903
2018,1,Río Negro,110.057,1.062,111.119
2018,1,Salta,133.182,1.0,133.183
2018,1,San Juan,62.610,658.0,63.268
2018,1,San Luis,21.096,300.0,21.396
2018,1,Santa Cruz,33.970,435.0,34.405
2018,1,Santa Fe,679.717,309.0,680.026
2018,1,Santiago Del Estero,82.916,2.0,82.918
2018,1,Tierra Del Fuego,31.106,508.0,31.614
2018,1,Tucumán,168.026,31.0,168.057
2017,4,Buenos Aires,3.171.206,10.69,3.181.896
2017,4,Capital Federal,1.575.418,6.906,1.582.324
2017,4,Catamarca,29.548,10.0,29.558
2017,4,Chaco,96.603,12.0,96.615
2017,4,Chubut,91.012,2.428,93.440
2017,4,Córdoba,709.874,105.0,709.979
2017,4,Corrientes,93.760,11.0,93.771
2017,4,Entre Ríos,193.654,49.0,193.703
2017,4,Formosa,32.056,0.0,32.056
2017,4,Jujuy,43.551,1.0,43.552
2017,4,La Pampa,81.675,396.0,82.071
2017,4,La Rioja,52.177,17.0,52.194
2017,4,Mendoza,178.661,1.49,180.151
2017,4,Misiones,103.895,0.0,103.895
2017,4,Neuquén,114.965,2.006,116.971
2017,4,Río Negro,108.702,1.062,109.764
2017,4,Salta,132.811,1.0,132.812
2017,4,San Juan,57.965,659.0,58.624
2017,4,San Luis,14.604,300.0,14.904
2017,4,Santa Cruz,29.018,434.0,29.452
2017,4,Santa Fe,672.137,323.0,672.460
2017,4,Santiago Del Estero,68.842,2.0,68.844
2017,4,Tierra Del Fuego,28.346,508.0,28.854
